pickup_community_area,fare,trip_start_month,trip_start_hour,trip_start_day,trip_start_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_miles,pickup_census_tract,dropoff_census_tract,payment_type,company,trip_seconds,dropoff_community_area,tips
8.0,11.85,1,13,3,1970-01-01 00:00:01.357046100,41.89960211,-87.63330804,41.90120699,-87.67635599,0.0,17031081401.0,17031345278.265589,Credit Card,Northwest Management LLC,840.0,24.0,2.55
28.0,13.25,1,18,3,1970-01-01 00:00:01.357064100,41.87400538,-87.66351755,41.90120699,-87.67635599,2.6,17031081401.0,17031345278.265589,Cash,Northwest Management LLC,1080.0,24.0,0.0
76.0,40.65,1,20,3,1970-01-01 00:00:01.357073100,41.97907082,-87.90303966,41.89833179,-87.62076287,0.0,17031081401.0,17031081300.0,Cash,Dispatch Taxi Affiliation,2220.0,8.0,0.0
28.0,3.25,1,4,4,1970-01-01 00:00:01.357099200,41.88530002,-87.64280847,41.88530002,-87.64280847,0.0,17031081401.0,17031280100.0,Cash,Dispatch Taxi Affiliation,0.0,28.0,0.0
32.0,20.45,1,6,4,1970-01-01 00:00:01.357109100,41.87886558,-87.62519214,41.79409025,-87.59231086,0.0,17031081401.0,17031345278.265589,Cash,Taxi Affiliation Services,1200.0,41.0,0.0
8.0,5.85,1,8,4,1970-01-01 00:00:01.357115400,41.89321636,-87.63784421,41.88530002,-87.64280847,1.0,17031081401.0,17031280100.0,Cash,Dispatch Taxi Affiliation,420.0,28.0,0.0
8.0,6.45,1,15,4,1970-01-01 00:00:01.357140600,41.89503345,-87.61971067,41.89204214,-87.63186395,10.0,17031081401.0,17031081700.0,Cash,Taxi Affiliation Services,480.0,8.0,0.0
32.0,4.84,1,16,4,1970-01-01 00:00:01.357143300,41.88099447,-87.63274649,41.87925508,-87.642649,0.6,17031081401.0,17031281900.0,Cash,Dispatch Taxi Affiliation,240.0,28.0,0.0
8.0,7.85,1,17,4,1970-01-01 00:00:01.357146000,41.89503345,-87.61971067,41.88099447,-87.63274649,1.9,17031081401.0,17031839100.0,Cash,Dispatch Taxi Affiliation,540.0,32.0,0.0
29.0,2.25,1,0,5,1970-01-01 00:00:01.357173000,41.86019002,-87.7172201,41.86019002,-87.7172201,0.0,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,0.0,29.0,0.0
8.0,5.85,1,7,5,1970-01-01 00:00:01.357198200,41.89321636,-87.63784421,41.88099447,-87.63274649,12.0,17031081401.0,17031839100.0,Cash,Taxi Affiliation Services,240.0,32.0,0.0
7.0,11.85,1,9,5,1970-01-01 00:00:01.357204500,41.92268628,-87.64948873,41.87886558,-87.62519214,0.2,17031081401.0,17031345278.265589,Credit Card,Blue Ribbon Taxi Association Inc.,1080.0,32.0,2.0
8.0,6.05,1,10,5,1970-01-01 00:00:01.357207200,41.89503345,-87.61971067,41.89250778,-87.62621491,0.0,17031081401.0,17031081500.0,Cash,Taxi Affiliation Services,420.0,8.0,0.0
6.0,12.65,1,15,5,1970-01-01 00:00:01.357227900,41.9442266,-87.65599818,41.87886558,-87.62519214,0.0,17031081401.0,17031345278.265589,Credit Card,Taxi Affiliation Services,600.0,32.0,2.5
8.0,17.05,1,16,5,1970-01-01 00:00:01.357230600,41.89960211,-87.63330804,41.97517094,-87.68751552,7.0,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,1020.0,4.0,0.0
76.0,35.85,1,18,5,1970-01-01 00:00:01.357237800,41.97907082,-87.90303966,41.89250778,-87.62621491,17.6,17031081401.0,17031081500.0,Cash,Dispatch Taxi Affiliation,1620.0,8.0,0.0
32.0,8.85,1,20,5,1970-01-01 00:00:01.357245000,41.88099447,-87.63274649,41.90752008,-87.6266589,0.0,17031081401.0,17031080100.0,Cash,Taxi Affiliation Services,600.0,8.0,0.0
32.0,4.45,1,0,6,1970-01-01 00:00:01.357257600,41.88099447,-87.63274649,41.89204214,-87.63186395,0.0,17031081401.0,17031081700.0,Cash,Taxi Affiliation Services,120.0,8.0,0.0
32.0,5.85,1,1,6,1970-01-01 00:00:01.357262100,41.88099447,-87.63274649,41.89321636,-87.63784421,0.6,17031081401.0,17031081800.0,Cash,Northwest Management LLC,300.0,8.0,0.0
28.0,6.85,1,8,6,1970-01-01 00:00:01.357288200,41.88530002,-87.64280847,41.88099447,-87.63274649,1.2,17031081401.0,17031839100.0,Cash,Dispatch Taxi Affiliation,540.0,32.0,0.0
3.0,19.65,1,10,6,1970-01-01 00:00:01.357296300,41.96581197,-87.65587879,41.87886558,-87.62519214,0.5,17031081401.0,17031345278.265589,Credit Card,Taxi Affiliation Services,960.0,32.0,1.35
6.0,9.45,1,19,6,1970-01-01 00:00:01.357328700,41.94269184,-87.65177051,41.9049353,-87.64990723,0.0,17031081401.0,17031842200.0,Cash,Taxi Affiliation Services,900.0,8.0,0.0
77.0,7.25,1,20,6,1970-01-01 00:00:01.357330500,41.9867118,-87.66341641,41.9867118,-87.66341641,1.6,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,480.0,77.0,0.0
8.0,4.45,1,21,6,1970-01-01 00:00:01.357335000,41.89204214,-87.63186395,41.89204214,-87.63186395,0.7,17031081401.0,17031081700.0,Cash,Choice Taxi Association,120.0,8.0,0.0
8.0,6.45,1,22,6,1970-01-01 00:00:01.357339500,41.89915561,-87.62621053,41.89204214,-87.63186395,1.2,17031081401.0,17031081700.0,Cash,Dispatch Taxi Affiliation,420.0,8.0,0.0
11.0,3.25,1,1,7,1970-01-01 00:00:01.357348500,41.97882953,-87.7711667,41.97882953,-87.7711667,0.0,17031081401.0,17031345278.265589,Cash,Taxi Affiliation Services,0.0,11.0,0.0
6.0,10.65,1,10,7,1970-01-01 00:00:01.357380900,41.9442266,-87.65599818,41.92276062,-87.69915534,3.4,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,780.0,22.0,0.0
8.0,4.84,1,18,7,1970-01-01 00:00:01.357411500,41.90026569,-87.63210922,41.90749193,-87.63576009,0.7,17031081401.0,17031080300.0,Cash,Dispatch Taxi Affiliation,180.0,8.0,0.0
76.0,27.25,1,20,7,1970-01-01 00:00:01.357416000,41.97907082,-87.90303966,41.96337438,-87.67018455,12.7,17031081401.0,17031031900.0,Cash,Dispatch Taxi Affiliation,1320.0,3.0,0.0
8.0,7.25,1,20,7,1970-01-01 00:00:01.357416900,41.9049353,-87.64990723,41.8997859996522,-87.64807667561502,1.62,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,540.0,32.0,0.0
8.0,19.05,1,20,7,1970-01-01 00:00:01.357416900,41.89960211,-87.63330804,41.80891628,-87.59618334,7.7,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,1140.0,39.0,0.0
6.0,4.85,1,0,1,1970-01-01 00:00:01.357432200,41.94906053,-87.6616429,41.94148823,-87.67110766,0.0,17031081401.0,17031062500.0,Cash,Blue Ribbon Taxi Association Inc.,180.0,6.0,0.0
8.0,4.65,1,1,1,1970-01-01 00:00:01.357434000,41.89092203,-87.61886836,41.89321636,-87.63784421,0.0,17031081401.0,17031081800.0,Cash,Blue Ribbon Taxi Association Inc.,240.0,8.0,0.0
8.0,17.25,1,2,1,1970-01-01 00:00:01.357439400,41.89960211,-87.63330804,41.79409025,-87.59231086,7.7,17031081401.0,17031345278.265589,Credit Card,Choice Taxi Association,840.0,41.0,3.65
33.0,8.05,1,9,1,1970-01-01 00:00:01.357464600,41.85718386,-87.62033462,41.89960211,-87.63330804,2.2,17031081401.0,17031345278.265589,Credit Card,Dispatch Taxi Affiliation,420.0,8.0,3.0
6.0,8.05,1,10,1,1970-01-01 00:00:01.357469100,41.9442266,-87.65599818,41.90120699,-87.67635599,1.4,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,480.0,24.0,0.0
8.0,4.25,1,12,1,1970-01-01 00:00:01.357473600,41.89092203,-87.61886836,41.89092203,-87.61886836,0.0,17031081401.0,17031081403.0,Cash,Taxi Affiliation Services,240.0,8.0,0.0
8.0,38.85,1,13,1,1970-01-01 00:00:01.357479900,41.90026569,-87.63210922,41.97907082,-87.90303966,19.4,17031081401.0,17031980000.0,Cash,Dispatch Taxi Affiliation,4260.0,76.0,0.0
8.0,9.85,1,1,2,1970-01-01 00:00:01.357523100,41.89915561,-87.62621053,41.85934972,-87.61735801,3.0,17031081401.0,17031330100.0,Cash,Dispatch Taxi Affiliation,600.0,33.0,0.0
33.0,23.85,1,2,2,1970-01-01 00:00:01.357524000,41.85718386,-87.62033462,41.8997859996522,-87.64807667561502,10.5,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,1200.0,32.0,0.0
32.0,7.85,1,10,2,1970-01-01 00:00:01.357554600,41.87886558,-87.62519214,41.89960211,-87.63330804,1.8,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,540.0,8.0,0.0
8.0,8.65,1,14,2,1970-01-01 00:00:01.357567200,41.90278805,-87.62614559,41.89092203,-87.61886836,2.0,17031081401.0,17031081403.0,Cash,Dispatch Taxi Affiliation,660.0,8.0,0.0
32.0,7.05,1,19,2,1970-01-01 00:00:01.357586100,41.87740612,-87.62197165,41.90752008,-87.6266589,1.7,17031081401.0,17031080100.0,Cash,Dispatch Taxi Affiliation,420.0,8.0,0.0
6.0,29.25,1,23,2,1970-01-01 00:00:01.357602300,41.94269184,-87.65177051,41.97907082,-87.90303966,0.0,17031081401.0,17031980000.0,Cash,Dispatch Taxi Affiliation,1560.0,76.0,0.0
8.0,6.05,1,23,2,1970-01-01 00:00:01.357602300,41.89204214,-87.63186395,41.9049353,-87.64990723,0.0,17031081401.0,17031842200.0,Cash,Taxi Affiliation Services,360.0,8.0,0.0
8.0,7.25,1,15,3,1970-01-01 00:00:01.357659900,41.89915561,-87.62621053,41.88099447,-87.63274649,0.0,17031081401.0,17031839100.0,Cash,Taxi Affiliation Services,540.0,32.0,0.0
32.0,4.45,1,16,3,1970-01-01 00:00:01.357661700,41.88498719,-87.62099291,41.88099447,-87.63274649,6.0,17031081401.0,17031839100.0,Cash,Taxi Affiliation Services,180.0,32.0,0.0
32.0,6.25,1,17,3,1970-01-01 00:00:01.357664400,41.88099447,-87.63274649,41.88099447,-87.63274649,1.3,17031081401.0,17031839100.0,Cash,Dispatch Taxi Affiliation,420.0,32.0,0.0
7.0,7.45,1,18,3,1970-01-01 00:00:01.357668900,41.92926299,-87.63589095,41.90949567,-87.6309636,2.2,17031081401.0,17031080201.0,Cash,Dispatch Taxi Affiliation,360.0,8.0,0.0
7.0,5.85,1,22,3,1970-01-01 00:00:01.357685100,41.92926299,-87.63589095,41.92896727,-87.65615683,1.2,17031081401.0,17031070400.0,Cash,Dispatch Taxi Affiliation,300.0,7.0,0.0
73.0,22.05,1,5,4,1970-01-01 00:00:01.357707600,41.71749304,-87.64889507,41.71749304,-87.64889507,10.5,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,0.0,73.0,0.0
8.0,6.45,1,9,4,1970-01-01 00:00:01.357722000,41.89092203,-87.61886836,41.88099447,-87.63274649,1.2,17031081401.0,17031839100.0,Cash,Dispatch Taxi Affiliation,420.0,32.0,0.0
28.0,3.25,1,11,4,1970-01-01 00:00:01.357731000,41.88528132,-87.6572332,41.88528132,-87.6572332,0.0,17031081401.0,17031833000.0,Pcard,Dispatch Taxi Affiliation,0.0,28.0,0.0
59.0,13.85,1,14,4,1970-01-01 00:00:01.357740000,41.83351789,-87.68135583,41.83351789,-87.68135583,0.0,17031081401.0,17031840300.0,Cash,Taxi Affiliation Services,0.0,59.0,0.0
28.0,6.05,1,15,4,1970-01-01 00:00:01.357745400,41.87925508,-87.642649,41.88498719,-87.62099291,1.3,17031081401.0,17031320100.0,Cash,Dispatch Taxi Affiliation,300.0,32.0,0.0
7.0,7.25,1,16,4,1970-01-01 00:00:01.357747200,41.92268628,-87.64948873,41.89960211,-87.63330804,0.0,17031081401.0,17031345278.265589,Cash,Taxi Affiliation Services,420.0,8.0,0.0
32.0,6.25,1,7,5,1970-01-01 00:00:01.357803000,41.88498719,-87.62099291,41.89915561,-87.62621053,1.3,17031081401.0,17031081201.0,Credit Card,Dispatch Taxi Affiliation,300.0,8.0,2.0
7.0,11.25,1,11,5,1970-01-01 00:00:01.357815600,41.92268628,-87.64948873,41.89960211,-87.63330804,0.0,17031081401.0,17031345278.265589,Cash,Taxi Affiliation Services,780.0,8.0,0.0
32.0,3.25,1,14,5,1970-01-01 00:00:01.357828200,41.88099447,-87.63274649,41.88099447,-87.63274649,0.0,17031081401.0,17031839100.0,Cash,Blue Ribbon Taxi Association Inc.,0.0,32.0,0.0
32.0,35.65,1,18,5,1970-01-01 00:00:01.357840800,41.88099447,-87.63274649,41.97907082,-87.90303966,17.5,17031081401.0,17031980000.0,Credit Card,Dispatch Taxi Affiliation,2580.0,76.0,9.41
7.0,3.25,1,21,5,1970-01-01 00:00:01.357852500,41.92185491,-87.64621098,41.92185491,-87.64621098,0.0,17031081401.0,17031071200.0,Cash,Blue Ribbon Taxi Association Inc.,0.0,7.0,0.0
8.0,5.25,1,13,6,1970-01-01 00:00:01.357911000,41.89960211,-87.63330804,41.89960211,-87.63330804,0.7,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,300.0,8.0,0.0
28.0,6.85,1,14,6,1970-01-01 00:00:01.357913700,41.88528132,-87.6572332,41.88498719,-87.62099291,13.0,17031081401.0,17031320100.0,Cash,Taxi Affiliation Services,480.0,32.0,0.0
8.0,4.65,1,15,6,1970-01-01 00:00:01.357919100,41.89092203,-87.61886836,41.88498719,-87.62099291,0.5,17031081401.0,17031320100.0,Cash,Dispatch Taxi Affiliation,180.0,32.0,0.0
7.0,8.85,1,16,6,1970-01-01 00:00:01.357920000,41.92268628,-87.64948873,41.90120699,-87.67635599,2.7,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,600.0,24.0,0.0
56.0,23.65,1,18,6,1970-01-01 00:00:01.357929900,41.79259236,-87.76961545,41.8997859996522,-87.64807667561502,0.0,17031081401.0,17031345278.265589,Credit Card,Taxi Affiliation Services,2160.0,32.0,5.0
32.0,6.85,1,20,6,1970-01-01 00:00:01.357936200,41.88099447,-87.63274649,41.9049353,-87.64990723,1.7,17031081401.0,17031842200.0,Cash,Dispatch Taxi Affiliation,420.0,8.0,0.0
8.0,5.25,1,20,6,1970-01-01 00:00:01.357937100,41.89321636,-87.63784421,41.93453972,-87.6430228,0.86,17031081401.0,17031063301.0,Cash,Dispatch Taxi Affiliation,240.0,6.0,0.0
7.0,7.05,1,23,6,1970-01-01 00:00:01.357945200,41.92904694,-87.65131088,41.92876301,-87.66567684,0.0,17031081401.0,17031070600.0,Cash,Blue Ribbon Taxi Association Inc.,540.0,7.0,0.0
22.0,6.85,1,0,7,1970-01-01 00:00:01.357948800,41.91922505,-87.67144577,41.8995898,-87.67471913,0.0,17031081401.0,17031242200.0,Cash,Taxi Affiliation Services,540.0,24.0,0.0
7.0,5.25,1,1,7,1970-01-01 00:00:01.357954200,41.92208254,-87.63415609,41.90749193,-87.63576009,0.0,17031081401.0,17031080300.0,Cash,Taxi Affiliation Services,300.0,8.0,0.0
32.0,8.05,1,17,7,1970-01-01 00:00:01.358012700,41.87060737,-87.62217294,41.89204214,-87.63186395,1.5,17031081401.0,17031081700.0,Cash,Dispatch Taxi Affiliation,720.0,8.0,0.0
8.0,7.85,1,18,7,1970-01-01 00:00:01.358015400,41.89915561,-87.62621053,41.88099447,-87.63274649,0.1,17031081401.0,17031839100.0,Cash,Taxi Affiliation Services,600.0,32.0,0.0
7.0,12.85,1,19,7,1970-01-01 00:00:01.358019000,41.91474731,-87.65400703,41.96217863,-87.64537876,0.2,17031081401.0,17031031400.0,Cash,Taxi Affiliation Services,1020.0,3.0,0.0
28.0,31.65,1,22,7,1970-01-01 00:00:01.358030700,41.87400538,-87.66351755,41.8997859996522,-87.64807667561502,0.0,17031081401.0,17031345278.265589,No Charge,Dispatch Taxi Affiliation,2340.0,32.0,0.0
24.0,9.85,1,22,7,1970-01-01 00:00:01.358030700,41.90837867,-87.67094508,41.88530002,-87.64280847,2.6,17031081401.0,17031280100.0,Cash,Dispatch Taxi Affiliation,900.0,28.0,0.0
6.0,5.05,1,23,7,1970-01-01 00:00:01.358033400,41.93623718,-87.65641153,41.93615907,-87.66126522,0.0,17031081401.0,17031062800.0,Cash,Taxi Affiliation Services,300.0,6.0,0.0
32.0,17.45,1,0,1,1970-01-01 00:00:01.358037900,41.87886558,-87.62519214,41.9442266,-87.65599818,7.2,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,960.0,6.0,0.0
7.0,7.65,1,0,1,1970-01-01 00:00:01.358037900,41.91474731,-87.65400703,41.90602597,-87.67531162,2.0,17031081401.0,17031241400.0,Credit Card,Dispatch Taxi Affiliation,540.0,24.0,0.0
6.0,10.85,1,0,1,1970-01-01 00:00:01.358037900,41.93631013,-87.65156259,41.96363317,-87.65236536,0.0,17031081401.0,17031031502.0,Credit Card,Dispatch Taxi Affiliation,780.0,3.0,1.5
8.0,3.25,1,1,1,1970-01-01 00:00:01.358038800,41.89092203,-87.61886836,41.89092203,-87.61886836,0.0,17031081401.0,17031081403.0,Cash,Blue Ribbon Taxi Association Inc.,0.0,8.0,0.0
7.0,4.45,1,1,1,1970-01-01 00:00:01.358038800,41.91474731,-87.65400703,41.9049353,-87.64990723,0.0,17031081401.0,17031842200.0,Credit Card,Northwest Management LLC,120.0,8.0,1.0
24.0,7.05,1,1,1,1970-01-01 00:00:01.358039700,41.89973739,-87.66495392,41.87925508,-87.642649,0.0,17031081401.0,17031281900.0,Cash,Blue Ribbon Taxi Association Inc.,300.0,28.0,0.0
6.0,4.05,1,2,1,1970-01-01 00:00:01.358042400,41.94629454,-87.65429808,41.94629454,-87.65429808,0.2,17031081401.0,17031832000.0,Cash,Dispatch Taxi Affiliation,120.0,6.0,0.0
7.0,5.25,1,2,1,1970-01-01 00:00:01.358044200,41.92904694,-87.65131088,41.93465916,-87.64672973,0.9,17031081401.0,17031063400.0,Cash,Dispatch Taxi Affiliation,240.0,6.0,0.0
8.0,10.45,1,3,1,1970-01-01 00:00:01.358046000,41.89207264,-87.62887416,41.91922505,-87.67144577,3.4,17031081401.0,17031832300.0,Cash,Choice Taxi Association,540.0,22.0,0.0
8.0,7.25,1,15,1,1970-01-01 00:00:01.358089200,41.89915561,-87.62621053,41.88099447,-87.63274649,17.0,17031081401.0,17031839100.0,Cash,Taxi Affiliation Services,420.0,32.0,0.0
76.0,37.45,1,16,1,1970-01-01 00:00:01.358092800,41.97907082,-87.90303966,41.85934972,-87.61735801,18.3,17031081401.0,17031330100.0,Credit Card,Dispatch Taxi Affiliation,1560.0,33.0,4.0
8.0,6.65,1,20,1,1970-01-01 00:00:01.358109000,41.89960211,-87.63330804,41.87886558,-87.62519214,1.5,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,360.0,32.0,0.0
6.0,5.85,1,0,2,1970-01-01 00:00:01.358123400,41.9442266,-87.65599818,41.96581197,-87.65587879,1.3,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,300.0,3.0,0.0
7.0,33.04,1,7,2,1970-01-01 00:00:01.358149500,41.92208254,-87.63415609,41.78599852,-87.75093429,15.6,17031081401.0,17031980100.0,Credit Card,Dispatch Taxi Affiliation,1620.0,56.0,5.0
76.0,27.25,1,12,2,1970-01-01 00:00:01.358164800,41.97907082,-87.90303966,41.8997859996522,-87.64807667561502,11.9,17031081401.0,17031345278.265589,Credit Card,Dispatch Taxi Affiliation,1740.0,32.0,5.0
32.0,5.65,1,12,2,1970-01-01 00:00:01.358166600,41.88099447,-87.63274649,41.89092203,-87.61886836,1.1,17031081401.0,17031081403.0,Cash,Dispatch Taxi Affiliation,300.0,8.0,0.0
6.0,4.25,1,14,2,1970-01-01 00:00:01.358172900,41.9442266,-87.65599818,41.9442266,-87.65599818,0.5,17031081401.0,17031345278.265589,Credit Card,Dispatch Taxi Affiliation,120.0,6.0,2.0
8.0,13.25,1,14,2,1970-01-01 00:00:01.358174700,41.89960211,-87.63330804,41.9442266,-87.65599818,4.2,17031081401.0,17031345278.265589,Credit Card,Dispatch Taxi Affiliation,1020.0,6.0,0.0
8.0,5.65,1,19,2,1970-01-01 00:00:01.358190000,41.89204214,-87.63186395,41.89830587,-87.65361398,0.0,17031081401.0,17031842300.0,Cash,Taxi Affiliation Services,360.0,24.0,0.0
28.0,20.65,1,19,2,1970-01-01 00:00:01.358191800,41.87400538,-87.66351755,41.79409025,-87.59231086,9.2,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,1080.0,41.0,0.0
6.0,6.65,1,1,3,1970-01-01 00:00:01.358212500,41.9442266,-87.65599818,41.96581197,-87.65587879,1.2,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,240.0,3.0,0.0
11.0,14.65,1,1,3,1970-01-01 00:00:01.358213400,41.97882953,-87.7711667,41.8997859996522,-87.64807667561502,5.81,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,1080.0,32.0,0.0
32.0,5.05,1,9,3,1970-01-01 00:00:01.358242200,41.88099447,-87.63274649,41.89204214,-87.63186395,0.7,17031081401.0,17031081700.0,Cash,Dispatch Taxi Affiliation,300.0,8.0,0.0
28.0,5.65,1,11,3,1970-01-01 00:00:01.358249400,41.87925508,-87.642649,41.87740612,-87.62197165,0.0,17031081401.0,17031320400.0,Cash,Dispatch Taxi Affiliation,360.0,32.0,0.0
32.0,5.65,1,11,3,1970-01-01 00:00:01.358250300,41.88099447,-87.63274649,41.8997859996522,-87.64807667561502,0.95,17031081401.0,17031345278.265589,Credit Card,Dispatch Taxi Affiliation,360.0,32.0,2.0
32.0,23.25,1,17,3,1970-01-01 00:00:01.358269200,41.88498719,-87.62099291,41.8997859996522,-87.64807667561502,9.42,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,1680.0,32.0,0.0
8.0,13.05,1,17,3,1970-01-01 00:00:01.358271900,41.89960211,-87.63330804,41.9442266,-87.65599818,4.5,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,840.0,6.0,0.0
32.0,6.05,1,18,3,1970-01-01 00:00:01.358273700,41.88099447,-87.63274649,41.87925508,-87.642649,0.0,17031081401.0,17031281900.0,Credit Card,Taxi Affiliation Services,360.0,28.0,1.0
8.0,6.05,1,23,3,1970-01-01 00:00:01.358291700,41.89207264,-87.62887416,41.88099447,-87.63274649,0.0,17031081401.0,17031839100.0,Cash,Dispatch Taxi Affiliation,300.0,32.0,0.0
8.0,7.25,1,8,4,1970-01-01 00:00:01.358323200,41.89250778,-87.62621491,41.88528132,-87.6572332,0.0,17031081401.0,17031833000.0,Credit Card,Blue Ribbon Taxi Association Inc.,420.0,28.0,3.0
8.0,6.05,1,9,4,1970-01-01 00:00:01.358327700,41.89250778,-87.62621491,41.88099447,-87.63274649,1.0,17031081401.0,17031839100.0,Cash,Dispatch Taxi Affiliation,360.0,32.0,0.0
8.0,5.45,1,11,4,1970-01-01 00:00:01.358334000,41.90278805,-87.62614559,41.89503345,-87.61971067,0.7,17031081401.0,17031081401.0,Cash,Dispatch Taxi Affiliation,300.0,8.0,0.0
32.0,6.25,1,15,4,1970-01-01 00:00:01.358348400,41.88099447,-87.63274649,41.89321636,-87.63784421,0.0,17031081401.0,17031081800.0,Cash,Taxi Affiliation Services,420.0,8.0,0.0
32.0,7.05,1,15,4,1970-01-01 00:00:01.358348400,41.88099447,-87.63274649,41.88498719,-87.62099291,0.0,17031081401.0,17031320100.0,Cash,Dispatch Taxi Affiliation,480.0,32.0,0.0
8.0,5.05,1,17,4,1970-01-01 00:00:01.358357400,41.89092203,-87.61886836,41.88099447,-87.63274649,0.0,17031081401.0,17031839100.0,Cash,Taxi Affiliation Services,300.0,32.0,0.0
8.0,11.85,1,18,4,1970-01-01 00:00:01.358359200,41.89960211,-87.63330804,41.87400538,-87.66351755,36.0,17031081401.0,17031345278.265589,Cash,Taxi Affiliation Services,900.0,28.0,0.0
32.0,5.05,1,18,4,1970-01-01 00:00:01.358360100,41.88498719,-87.62099291,41.88530002,-87.64280847,0.0,17031081401.0,17031280100.0,Cash,Northwest Management LLC,240.0,28.0,0.0
8.0,10.45,1,21,4,1970-01-01 00:00:01.358370900,41.89960211,-87.63330804,41.85026637,-87.66756931,3.8,17031081401.0,17031345278.265589,Credit Card,Dispatch Taxi Affiliation,480.0,31.0,2.05
24.0,8.05,1,0,5,1970-01-01 00:00:01.358381700,41.90120699,-87.67635599,41.92268628,-87.64948873,2.3,17031081401.0,17031345278.265589,Credit Card,Dispatch Taxi Affiliation,480.0,7.0,1.0
6.0,11.25,1,9,5,1970-01-01 00:00:01.358413200,41.93839126,-87.63857492,41.89321636,-87.63784421,3.6,17031081401.0,17031081800.0,Cash,Dispatch Taxi Affiliation,840.0,8.0,0.0
33.0,7.45,1,9,5,1970-01-01 00:00:01.358415900,41.85934972,-87.61735801,41.87740612,-87.62197165,0.0,17031081401.0,17031320400.0,Credit Card,Taxi Affiliation Services,540.0,32.0,1.5
28.0,7.85,1,11,5,1970-01-01 00:00:01.358422200,41.87400538,-87.66351755,41.89960211,-87.63330804,1.2,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,600.0,8.0,0.0
